Id,String
,
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Name,이름
DESC,설명
TYPE,타입
VALUE,벨류
COST,코스트
WEAPON,무기
EQUIP,장비
CONSUMABLE,소모품
Save,저장
Load,불러오기
Add,아이템추가
Remove,아이템삭제
data_o,날찌(오름차)
data_n,날찌(내림차)
name_o,이름(오름차)
name_n,이름(내림차)
non1,없음
WEAPON1,무기
EQUIP1,장비
CONSUMABLE1,소모품
char1Name,캐릭터1
char1Desc,캐릭터1 설명
char2Name,캐릭터2
char2Desc,캐릭터2 설명
char3Name,캐릭터3
char3Desc,캐릭터3 설명
char4Name,캐릭터4
char4Desc,캐릭터4 설명
CHAR_NONE,없음
CHAR_NORMAL,일반
CHAR_RARE,레어
CHAR_SUPERRARE,슈퍼레어
CHAR_ULTRARARE,울트라레어
